plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
almond,Bacterial canker,Pseudomonas syringae,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/P/D-SF-PSYR-BT.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-SF-PSYR-BT.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-SF-PSYR-BT.011a.jpg,,,,,,,"avoid planting on shallow soils. plant less susceptible rootstocks. choice of rootstock and varieties can influence the susceptibility of plums, prunes, and cherries to bacterial canker and blast. generally, vigorous trees have less trouble with bacterial canker practice measures, such as adequate fertilizer and irrigation that encourage good plant growth. if trees have been infected, remove entire affected branches in the summer, being sure to eliminate the entire canker and a few inches below. if freezing conditions occur during bloom or early fruit growth, cover them or use protective shelters.",,,bacterial canker and blast€”pseudomonas syringae,"symptoms of bacterial canker and blast are most obvious in spring and include limb dieback with rough cankers. cankers are irregularly shaped, brown, water-soaked areas that develop in the bark and outer sapwood of spurs, branches, and the tree trunk. small cankers can develop on twigs at the base of infected buds. amber-colored gum may exude from the margins of cankers. in cold, wet weather, blossoms may turn brown, shrivel, and cling to the tree. leaves also may develop dark spots that later drop out. sunken spots may develop on young fruit. a more severe form of the disease, the sour sap phase, generally occurs in younger trees. this phase may not show gum and cankers, but the inner bark is brown, fermented, and sour smelling. reddish flecks and pockets of bacterial invasion in bark occur outside canker margins. trees frequently sucker from near ground level. cankers do not extend below ground. identification | life cycle"
almond,Bacterial leaf scorch (almond leaf scorch),Xylella fastidiosa,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.004h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.009h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.018h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.013h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/H/I-HO-HCOA-AD.018h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7480.html,
almond,Brown rot,Monilinia spp.,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/M/D-AM-MLAX-BL.009a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/M/D-AM-MLAX-BL.016a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/M/D-AM-MLAX-BL.023a.jpg,,,,,,,"prompt removal and destruction of diseased plant parts prevents the buildup of brown rot inoculum and helps keep rot below damaging levels. prune trees to allow good ventilation. furrow irrigate or use low-angle sprinklers to avoid wetting blossoms, foliage, and fruit. plant varieties that are least susceptible; 'nonpareil', 'price', and 'solano' cultivars are less susceptible. if you have had problems in the past, applications of fungicides at pink bud stage can help avoid serious losses.",,,brown rot€”monilinia spp.,"young blossom spurs and associated leaves on plants infected with monilinia collapse to form shoot blight. gum may exude at the base of infected flowers. cankers on blighted twigs have tan centers with dark margins. at high humidity, gray to tan spore masses form on diseased flower parts and twig cankers. flowers may become infected from pink bud to petal fall and are most susceptible when fully open. stigma, anthers, and petals are all very susceptible to infection."
almond,Coryneum blight (Shot hole disease),Wilsonomyces carpophilus,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-FF.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-BT.011a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-AM-SCAR-FU.001b.jpg,,,,,"shot hole first appears in the spring as purplish or reddish spots about 1/10 inch in diameter on new buds, leaves, and shoots. spots on young leaves commonly have a narrow, light green or yellow margin. the spots expand and their centers turn brown and can drop out, leaving holes. the fungal disease also causes premature leaf drop, rough and corky or scabby lesions on fruit that are brown with dark purple margins and mostly on the upper surface, and small cankers on branches. tiny, dark specks (sporodochium and spores) visible with a hand lens form in the centers of brown spots, especially on buds; these dark fungal spores help to distinguish shot hole from other diseases.","the fungus overwinters in infected buds and twig lesions. the spores spread in splashing water. disease is most severe following warm, foggy or rainy winters and when it rains in the spring during young leaf growth. spores that land on twigs, buds, blossoms, or young leaves require 24 hours of continuous wetness to cause infection. only the current season's growth is susceptible to infection. in california, twig and bud infections of apricot, nectarine, and peach can occur during rainy weather any time between fall and spring. buds of peach, nectarine, and sometimes apricot are killed in the winter. the fungus can germinate and infect at temperatures as low as 36°f. when zinc sulfate is sprayed on foliage in late october to early november to hasten leaf fall, shot hole inoculum is prevented from increasing. otherwise, high levels of inoculum may develop and overwinter on the trees, infecting leaves the following spring.","use low-volume sprinklers, drip irrigation, or sprinkler deflectors and prune off lower branches to prevent foliage wetting from irrigation. prune and dispose of infected plant tissue as soon as it appears. after leaf drop, inspect plants carefully and prune varnished-appearing (infected) buds and twigs with lesions. diligent sanitation and directing irrigation water away from foliage provide adequate control where the incidence of shot hole is low. where disease is severe on high-value plants, bordeaux mixture, fixed copper, or certain synthetic fungicides such as chlorothalonil can be applied after leaf drop. retreatment in late winter before buds swell or between full bloom and petal fall or both times may be necessary on highly susceptible apricot or if prolonged wet weather occurs in the spring.",,,"shot hole, or coryneum blight€”wilsonomyces carpophilus","shot hole disease affects prunus spp. hosts include almonds, catalina and japanese flowering cherries, english laurel, ornamental plums, nectarines, peaches, and especially apricot. the disease will develop on cherries, plums, and prunes only when growing near more susceptible hosts during years with unusually wet weather during winter and spring."
almond,Crown gall,Agrobacterium tumefaciens,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/A/D-GR-ATUM-TR.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-SF-ATUM-RO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-WA-ATUM-CR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-CB-ATUM-CR.001a.jpg,,,,,"another bacterium, possibly agrobacterium pseudotsugae, causes galls on stems of douglas-fir. crown galls on bark surfaces resemble damage from certain boring insects, woolly aphids, or other causes of plant galls. certain boring insects colonize galled tissue, complicating diagnosis of the original cause. agrobacterium tumefaciens causes galling principally on the basal stem and root crown, at the soil line or just below the surface. galls sometimes also develop on limbs, trunks, and roots. the surface of crown galls and wood underneath is the same color as healthy bark and wood. however, when cut with a knife, crown galls are softer than normal wood and lack the typical pattern of annual growth rings. galls can be tiny and smooth on young plants but usually are rough and sometimes massive on older trees.","the bacteria reproduce in galled tissue and may slough off and survive in soil for long periods. bacteria in soil enter plants through wounds, commonly caused during handling in the nursery or when transplanting. the bacteria can also infect newly emerging roots, growth cracks, and wounds caused by sucker removal or string trimmers or other equipment.","where crown gall has been a problem, plant resistant species, including birch, cedar, coast redwood, holly, incense cedar, magnolia, pine, spruce, tulip tree, and zelkova. purchase and plant only high-quality nursery stock and avoid injuring trees, especially around the soil line. dipping seeds or roots in the nursery in a solution of the biological control agents k-84 or k-1026 [nonpathogenic strains of a. tumefaciens (=a. radiobacter)] may reduce infections by most strains of pathogenic crown gall bacteria but not the strain commonly affecting grape. solarization, covering moist, bare soil with clear plastic for 4 to 6 weeks during the sunny, dry season before planting may reduce crown gall bacteria in the upper soil. galls can be removed by cutting into healthy wood around galls and exposing the tissue to drying. cut out galls only during the dry season and minimize the removal of healthy tissue. at least on certain fruit and nut trees, gall regrowth is frequently avoided by using a blowtorch to briefly heat and sterilize the edges where galls were removed. do not burn or char tissue and use caution to avoid fire or injury. if galls encompass much of the crown area, cutting them out causes other problems or tree death. replace extensively galled trees if their growth is unsatisfactory.",,,crown gall€”agrobacterium tumefaciens,"the crown gall bacterium causes distorted growths or galls on bark. many plants can be infected, especially euonymus, fruit and nut trees, prunus spp., rose, and willow. herbaceous hosts include chrysanthemum, dahlia, geranium, marigold, peony, and snapdragon. agrobacterium tumefaciens usually does not seriously harm woody plants unless galls occur in the root crown when plants are young. infected young plants may become stunted and subject to wind breakage and drought stress. if galls are large, water or nutrient transport can be inhibited to the extent that young plants are killed. crown gall appears to have a relatively minor effect on most older plants."
almond,Oak root fungus (Armillaria root rot),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FU.005a.jpg,,,,,,,"if less than half of the crown's circumference is girdled, it may be possible to save the tree. in late spring, remove the soil from around the crown area and cut away all bark and tissue of the crown invaded by the white leathery fungus. leave uninfected tissue intact and keep the crown exposed for drying. if more than half of the crown is infected, the tree should be removed. before replanting, allow the soil to dry out. plant on mounds with roots close to the soil surface, and replant with a resistant species. maintaining trees with good fertilization and irrigation programs helps preserve their natural resistance to this fungus.",,,armillaria root rot (oak root fungus) €” armillaria mellea,"symptoms on trees infected with oak root fungus vary. if the disease develops quickly, leaves tend to be small and chlorotic and drop early. shoot growth is poor and shoot dieback is common. trees with slow development of the disease show premature fall coloring of the foliage. foliage symptoms may be expressed on only one or two scaffolds if the crown is only partially girdled. dark rhizomorphs (shoestringlike structures) develop and grow along the surface of healthy roots."
almond,Phytophthora root and crown rot,Phytophthora spp.,Oomycete,https://ipm.ucanr.edu/PMG/IMAGES/P/D-WO-PCIN-FS.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-CI-PHSP-TR.004a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AM-PSPP-TR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/P/D-AV-PCIN-RO.002a.jpg,,,,,"root- and crown-infecting phytophthora cause leaves to wilt, discolor, remain undersized, and drop prematurely. twigs and branches die back and the entire plant, especially when young, can be killed as roots and vascular tissue die. plants infected when they are mature grow slowly and may gradually decline. small brownish lesions encircling feeder roots are an early symptom of infection. as disease progresses, the small, fibrous feeder roots become scarce. where present, the small roots are black, brittle, and dead from infection. woody roots decaying from phytophthora alone are firm and brittle but eventually soften as secondary decay organisms develop. depending on environmental conditions and the species of pathogen and host plant, sap that is black, brown, or reddish may ooze from darkened areas of trunk bark. cutting away bark from the basal trunk and roots often reveals a brown or reddish streak, stain, or canker in infected wood with a water-soaked margin separating it from the healthy whitish or yellowish wood. confirmation of phytophthora requires sending an appropriate plant sample with viable infection to a diagnostic laboratory. test kits that employ the serological (antigen-antibody) technique elisa (enzyme-linked immunosorbent assay) are available for use in the field to confirm the presence of phytophthora where research-based sampling recommendations have been developed.","phytophthora spp. can survive in the soil for many years. they require high soil moisture to infect host roots, so the pathogen thrives in areas of excess soil moisture and poor drainage. the pathogen infects the smaller (feeder) roots. infected root tissue develops spore-forming structures (sporangia) and produces spores (chlamydospores, oospores, zoospores). phytophthora spores spread from tree to tree easily and rapidly in water as it moves over or through the soil and the spores persist in soil and water. phytophthora spp. are commonly introduced into gardens and landscapes through the planting of infested nursery stock. after planting, disease develops and the introduced phytophthora spreads in the landscape in drainage water and soil movement. phytophthora also spreads through the movement of contaminated equipment and shoes and through any human or animal activity that moves moist soil from one place to another.","use only nursery stock that has been certified to be free of phytophthora spp. and obtain plants from reputable local suppliers. inspect roots and reject plants that show decayed roots or evidence of crown rot. prepare the site well before planting, use excellent sanitation, and provide appropriate cultural care, especially proper irrigation. good water management is the most important factor in reducing the threat of phytophthora root and crown rot. where soils are compacted, drain poorly, or are often soggy, improve drainage and plant only species not reported to be susceptible to p. cinnamomi.",,,phytophthora root and crown rot€”phytophthora spp.,"phytophthora cinnamomi and other phytophthora spp. commonly cause maladies that are also called collar rots, foot rots, and phytophthora root rot. these funguslike water molds (oomycetes) affect many plant species. phytophthora ramorum infects aboveground plant parts and causes sudden oak death and ramorum blight."
almond,Scab,Cladosporium (syn. Fusicladium) carpophilum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-SF-CCAR-FR.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FO.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FO.001a.jpg,,,,,,,avoid overhead sprinklers or use a low angle to avoid wetting foliage. pruning trees to allow good penetration of sunlight and air movement can help in scab control. treatment is not usually necessary in home orchards. fungicides used in spring for control of shot hole disease will also provide control of scab.,,,scab€”cladosporium carpophilum,"scab infects leaves and fruit, causing dark spots to form. on almonds, twigs are also affected. lesions start as indistinct water-soaked spots that gradually turn brown in the center and have a lighter colored margin. in the spring, these lesions develop a dark color. on leaves, yellowish green spots develop and may later darken. small greenish spots appear on fruit. when numerous lesions coalesce, cracking may occur as the fruit enlarges. scab lesions look greasy and oily."
almond,Scab,Fusicladium (syn. Cladosporium) carpophilum,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/C/D-SF-CCAR-FR.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FR.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FO.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/F/D-AM-FCAR-FO.001a.jpg,,,,,,,avoid overhead sprinklers or use a low angle to avoid wetting foliage. pruning trees to allow good penetration of sunlight and air movement can help in scab control. treatment is not usually necessary in home orchards. fungicides used in spring for control of shot hole disease will also provide control of scab.,,,scab€”cladosporium carpophilum,"scab infects leaves and fruit, causing dark spots to form. on almonds, twigs are also affected. lesions start as indistinct water-soaked spots that gradually turn brown in the center and have a lighter colored margin. in the spring, these lesions develop a dark color. on leaves, yellowish green spots develop and may later darken. small greenish spots appear on fruit. when numerous lesions coalesce, cracking may occur as the fruit enlarges. scab lesions look greasy and oily."
almond,Shot hole disease (Coryneum blight),Wilsonomyces carpophilus,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-FF.002a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-FO.001a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-SF-SCAR-BT.011a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/S/D-AM-SCAR-FU.001b.jpg,,,,,"shot hole first appears in the spring as purplish or reddish spots about 1/10 inch in diameter on new buds, leaves, and shoots. spots on young leaves commonly have a narrow, light green or yellow margin. the spots expand and their centers turn brown and can drop out, leaving holes. the fungal disease also causes premature leaf drop, rough and corky or scabby lesions on fruit that are brown with dark purple margins and mostly on the upper surface, and small cankers on branches. tiny, dark specks (sporodochium and spores) visible with a hand lens form in the centers of brown spots, especially on buds; these dark fungal spores help to distinguish shot hole from other diseases.","the fungus overwinters in infected buds and twig lesions. the spores spread in splashing water. disease is most severe following warm, foggy or rainy winters and when it rains in the spring during young leaf growth. spores that land on twigs, buds, blossoms, or young leaves require 24 hours of continuous wetness to cause infection. only the current season's growth is susceptible to infection. in california, twig and bud infections of apricot, nectarine, and peach can occur during rainy weather any time between fall and spring. buds of peach, nectarine, and sometimes apricot are killed in the winter. the fungus can germinate and infect at temperatures as low as 36°f. when zinc sulfate is sprayed on foliage in late october to early november to hasten leaf fall, shot hole inoculum is prevented from increasing. otherwise, high levels of inoculum may develop and overwinter on the trees, infecting leaves the following spring.","use low-volume sprinklers, drip irrigation, or sprinkler deflectors and prune off lower branches to prevent foliage wetting from irrigation. prune and dispose of infected plant tissue as soon as it appears. after leaf drop, inspect plants carefully and prune varnished-appearing (infected) buds and twigs with lesions. diligent sanitation and directing irrigation water away from foliage provide adequate control where the incidence of shot hole is low. where disease is severe on high-value plants, bordeaux mixture, fixed copper, or certain synthetic fungicides such as chlorothalonil can be applied after leaf drop. retreatment in late winter before buds swell or between full bloom and petal fall or both times may be necessary on highly susceptible apricot or if prolonged wet weather occurs in the spring.",,,"shot hole, or coryneum blight€”wilsonomyces carpophilus","shot hole disease affects prunus spp. hosts include almonds, catalina and japanese flowering cherries, english laurel, ornamental plums, nectarines, peaches, and especially apricot. the disease will develop on cherries, plums, and prunes only when growing near more susceptible hosts during years with unusually wet weather during winter and spring."
